Time,NumberObject,TypeObject,Positions
2022-07-27 22:29:15.082507,1,cell phone,"[(26.0, 31.0, 637.0, 345.0)]"
2022-07-27 22:29:15.747727,1,cell phone,"[(33.0, 28.0, 632.0, 345.0)]"
2022-07-27 22:29:16.386036,1,cell phone,"[(29.0, 26.0, 633.0, 348.0)]"
2022-07-27 22:29:16.974478,1,cell phone,"[(26.0, 29.0, 639.0, 349.0)]"
2022-07-27 22:29:17.581838,1,cell phone,"[(32.0, 20.0, 627.0, 354.0)]"
2022-07-27 22:29:18.174254,1,cell phone,"[(29.0, 18.0, 633.0, 357.0)]"
2022-07-27 22:29:18.795593,1,cell phone,"[(23.0, 16.0, 637.0, 357.0)]"
2022-07-27 22:29:19.396978,1,cell phone,"[(26.0, 8.0, 634.0, 359.0)]"
2022-07-27 22:29:19.396978,1,person,"[(22.0, 30.0, 635.0, 360.0)]"
2022-07-27 22:29:19.957479,1,cell phone,"[(13.0, 7.0, 640.0, 360.0)]"
2022-07-27 22:29:19.957479,1,person,"[(16.0, 30.0, 637.0, 360.0)]"
2022-07-27 22:29:20.536930,1,cell phone,"[(26.0, 9.0, 636.0, 359.0)]"
2022-07-27 22:29:20.536930,1,person,"[(27.0, 30.0, 634.0, 360.0)]"
2022-07-27 22:29:21.113388,1,cell phone,"[(26.0, 10.0, 636.0, 359.0)]"
2022-07-27 22:29:21.113388,1,person,"[(24.0, 33.0, 635.0, 360.0)]"
2022-07-27 22:29:21.672892,1,cell phone,"[(22.0, 9.0, 636.0, 360.0)]"
2022-07-27 22:29:22.233393,1,cell phone,"[(23.0, 12.0, 637.0, 359.0)]"
2022-07-27 22:29:22.799878,1,cell phone,"[(19.0, 5.0, 639.0, 360.0)]"
2022-07-27 22:29:22.799878,1,tvmonitor,"[(14.0, 4.0, 640.0, 360.0)]"
2022-07-27 22:29:23.364321,1,cell phone,"[(18.0, 9.0, 629.0, 360.0)]"
2022-07-27 22:29:23.921830,2,cell phone,"[(17.0, 0.0, 632.0, 360.0), (525.0, 92.0, 640.0, 204.0)]"
2022-07-27 22:29:24.478342,1,cell phone,"[(8.0, 8.0, 639.0, 360.0)]"
2022-07-27 22:29:24.478342,1,tvmonitor,"[(8.0, 8.0, 639.0, 360.0)]"
2022-07-27 22:29:25.030865,1,cell phone,"[(4.0, 14.0, 640.0, 354.0)]"
2022-07-27 22:29:25.030865,1,tvmonitor,"[(8.0, 0.0, 636.0, 69.0)]"
2022-07-27 22:29:25.632257,1,cell phone,"[(3.0, 10.0, 640.0, 352.0)]"
2022-07-27 22:29:25.632257,2,tvmonitor,"[(0.0, 9.0, 640.0, 355.0), (1.0, 0.0, 636.0, 72.0)]"
2022-07-27 22:29:26.205723,1,cell phone,"[(0.0, 0.0, 638.0, 349.0)]"
2022-07-27 22:29:26.771211,1,tvmonitor,"[(8.0, 7.0, 630.0, 355.0)]"
2022-07-27 22:29:26.771211,1,laptop,"[(8.0, 7.0, 630.0, 355.0)]"
2022-07-27 22:29:27.331712,1,tvmonitor,"[(0.0, 7.0, 636.0, 307.0)]"
2022-07-27 22:29:27.331712,1,laptop,"[(0.0, 3.0, 640.0, 360.0)]"
2022-07-27 22:29:27.891216,1,laptop,"[(4.0, 6.0, 633.0, 351.0)]"
2022-07-27 22:29:27.891216,1,tvmonitor,"[(0.0, 3.0, 638.0, 354.0)]"
2022-07-27 22:29:28.460693,1,tvmonitor,"[(13.0, 10.0, 630.0, 350.0)]"
2022-07-27 22:29:28.460693,1,laptop,"[(13.0, 10.0, 630.0, 350.0)]"
2022-07-27 22:29:29.024187,1,laptop,"[(13.0, 6.0, 626.0, 348.0)]"
2022-07-27 22:29:29.586682,1,tvmonitor,"[(11.0, 3.0, 621.0, 357.0)]"
